Category,Description,Qty,Notes
Fasteners,M5x30 BHCS,12,
,M3x30 SHCS,20,
,M5x10 BHCS,26,
,M5 T-Nut,51,
,M5 Washer,24,
,M2x10 Self-Tapping Screw,8,
,M3x20 SHCS,8,
,M3 Threaded Insert,43,
,M3x12 SHCS,8,
,M5x40 SHCS,6,
,M5 Hexnut,4,
,M5x16 BHCS,41,
,M3x40 SHCS,5,
,M3x16 SHCS,16,
,M3x8 SHCS,20,
,Bed Spring 1" L 0.408" OD,4,
,M4x8 BHCS,5,
Motion,GT2 20T Pulley (5mm bore),2,
,F695 Bearing,24,
,LM8LUU Linear Bearing,10,
,TR8x8 Leadscrew Nut,2,
,Linear Shaft 8x290mm Shaft,6,
,Linear Shaft 8x260mm Shaft,4,
,GT2 Open Belt LL-2GT-6 (6mm wide) - 1570mm,2,
Electronics,SPDT KW10 Limit Micro Switch,2,
,NEMA17 Motor 17HS15-1504S1,2,
,PL-08N Inductive Probe,1,
,E3D V6 Bowden Hotend Kit (24V),1,
,40x40x20 Centrifugal Fan (24V),1,
,40x40x10 Axial Fan (24V),1,
,Mini 12864 Display,1,
,SKR 1.4,1,
,TMC2209 Stepper Motor Driver,5,
,60x60x20 Axial Fan (24V),1,
,RaspberryPi ZeroW,1,
,Mean Well LRS-200-24 PSU,1,
,Omron G3A-210B-DC5 SSR,1,
,BAT85 Diode,1,
,C13 Power Cord,1,
,AdamTec IEC-GS-1-100 Inlet,1,
,NEMA17 TR8x8 240mm Linear Stepper,2,
Bowden,TriangleLab Bowden Collet,1,
Misc,3M VHB Tape,1,
,Loctite Blue Threadlocker Stick,1,
,Lithium Grease,1,
,Tesa Wire Loom Harness Tape,1,
Cables,Nylon Cable Ties 4",20,
,3/4" Braided Cable Sheathing (5 ft),1,
,3/4" Heat Shrink Tubing,1,
,20AWG Stranded Silicone Cable Red (10 ft),1,
,20AWG Stranded Silicone Cable Black (30 ft),1,
,20AWG Stranded Silicone Cable White (4 ft),1,
,20AWG Stranded Silicone Cable Green (2 ft),1,
,24AWG Stranded Silicone Cable Blue (10 ft),1,
,24AWG Stranded Silicone Cable Yellow (10 ft),1,
,24AWG Stranded Silicone Cable Green (10 ft),1,
,24AWG Stranded Silicone Cable White (10 ft),1,
,Spade Crimp Terminal 4.8mm Female,7,
,DuPont Connector Plug 4 Position,2,
,DuPont Connector Plug 3 Position,1,
,JST XH Connector Plug 4 Position,7,
,JST XH Connector Plug 2 Position,6,
,MicroFit3 Connector Plug 4 Position,4,
,MicroFit3 Connector Plug 3 Position,1,
,MicroFit3 Connector Plug 2 Position,2,
,MicroFit3 Connector Receptacle 4 Position,4,
,MicroFit3 Connector Receptacle 3 Position,1,
,MicroFit3 Connector Receptacle 2 Position,2,
,DuPont Female Pin,10,
,JST XH Female Pin,40,
,MicroFit3 Female Pin,40,
,MicroFit3 Male Pin,40,
Frame,2020 T-Slot Extusion - 340mm,8,
,2020 T-Slot Extusion - 350mm,4,
,2020 T-Slot Extrusion - 130mm,2,
Buildplate,3M 468MP Adhesive Sheet - 8"x8",1,
,PEI 0.04" Sheet - 8"x8",1,
,MIC6 1/4" Plate - 8"x8",1,
,Keenovo Silicone AC Heater w/ thermistor & thermal fuse - 170x170mm (200W),1,
